available;categoryId;currencyId;description;id;modified_time;name;oldprice;param;picture;price;type;url;vendor
true;Женское/Одежда/Футболки;RUB;100% хлопок;1310587;1648544488;Хлопковая футболка Lacoste;13480.00;Артикул:TF1501|Категория:Футболки|Размер:34, 36, 38|Цвет:многоцветный|Пол:Женский;https://lacoste.ru/upload/photo/1476/TF1501056.jpg;9436.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Ffutbolki_zhenshchiny%2Fkhlopkovaya_futbolka_lacoste__8_color_056%2F&i=5;Lacoste
true;Мужское/Одежда/Футболки;RUB;100% хлопок;1315418;1648544488;Хлопковая футболка Lacoste;9480.00;Артикул:TH1867|Категория:Футболки|Размер:6|Цвет:белый|Пол:Мужской;https://lacoste.ru/upload/photo/1476/TH1867001.jpg;6636.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Ffutbolki-muzhchiny%2Fkhlopkovaya_futbolka_lacoste__29_color_001%2F&i=5;Lacoste
true;Женское/Одежда/Футболки;RUB;100% хлопок;1310548;1648544488;Хлопковая футболка Lacoste;12480.00;Артикул:TF0233|Категория:Футболки|Размер:36|Цвет:многоцветный|Пол:Женский;https://lacoste.ru/upload/photo/1476/TF0233W31.jpg;8736.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Ffutbolki_zhenshchiny%2Fkhlopkovaya_futbolka_lacoste__4_color_W31%2F&i=5;Lacoste
true;Женское/Одежда/Футболки;RUB;69% хлопок 26% полиэстер 5% эластан;1310554;1648544488;Хлопковая футболка Lacoste;13480.00;Артикул:TF0606|Категория:Футболки|Размер:34, 36|Цвет:многоцветный|Пол:Женский;https://lacoste.ru/upload/photo/1476/TF0606FRC.jpg;9436.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Ffutbolki_zhenshchiny%2Fkhlopkovaya_futbolka_lacoste_22_color_FRC%2F&i=5;Lacoste
true;Женское/Одежда/Поло;RUB;94% хлопок 6% эластан;1316709;1648544488;Поло Lacoste;13980.00;Артикул:PF2230|Категория:Поло|Размер:34, 36, 38, 40|Цвет:зеленый|Пол:Женский;https://lacoste.ru/upload/photo/1476/PF2230YZP.jpg;9786.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fpolo-zhenshchiny%2Fpolo_lacoste_l_ve_15_color_YZP%2F&i=5;Lacoste
true;Мужское/Одежда/Толстовки;RUB;85% хлопок 15% полиэстер;1316809;1648544488;Хлопковая толстовка Lacoste;16980.00;Артикул:SH1569|Категория:Толстовки|Размер:4, 6|Цвет:многоцветный|Пол:Мужской;https://lacoste.ru/upload/photo/1476/SH1569DJ9.jpg;11886.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Ftolstovki-muzhchiny%2Fkhlopkovaya_tolstovka_lacoste_23_color_DJ9%2F&i=5;Lacoste
true;Мужское/Одежда/Спортивная одежда;RUB;83% хлопок 17% полиэстер;1313185;1648544488;Спортивные штаны Lacoste;16980.00;Артикул:XH1529|Категория:Спортивная одежда|Размер:4, 5, 6, 7|Цвет:многоцветный|Пол:Мужской;https://lacoste.ru/upload/photo/1476/XH1529E89.jpg;11886.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fsportivnaya-odezhda-muzhchiny%2Fsportivnye_shtany_lacoste_92_color_E89%2F&i=5;Lacoste
true;Мужское/Одежда/Футболки;RUB;65% хлопок 35% полиэстер / 50% хлопок 50% полиэстер;1310681;1648544488;Хлопковая футболка Lacoste;9480.00;Артикул:TH9560|Категория:Футболки|Размер:4|Цвет:многоцветный|Пол:Мужской;https://lacoste.ru/upload/photo/1476/TH9560CCA.jpg;6636.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Ffutbolki-muzhchiny%2Fkhlopkovaya_futbolka_lacoste_28_color_CCA%2F&i=5;Lacoste
true;Женское/Одежда/Платья и юбки;RUB;69% хлопок 26% полиэстер 5% эластан;1310223;1648544488;Платье Lacoste;25980.00;Артикул:EF2783|Категория:Платья и юбки|Размер:36, 38, 40, 42|Цвет:многоцветный|Пол:Женский;https://lacoste.ru/upload/photo/1476/EF2783FRC.jpg;18186.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fplatya-i-yubki-zhenshchiny%2Fplate_lacoste_508_color_FRC%2F&i=5;Lacoste
true;Мужское/Одежда/Поло;RUB;63% хлопок 31% полиэстер 6% эластан / 100% хлопок;1310797;1648544488;Поло Lacoste;24980.00;Артикул:PH9744|Категория:Поло|Размер:3, 4|Цвет:белый|Пол:Мужской;https://lacoste.ru/upload/photo/1476/PH9744522.jpg;17486.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fpolo-muzh%2Fpolo_lacoste_533_color_522%2F&i=5;Lacoste
true;Мужское/Одежда/Поло;RUB;63% хлопок 31% полиэстер 6% эластан / 100% хлопок;1310791;1648544488;Поло Lacoste;24980.00;Артикул:PH9744|Категория:Поло|Размер:4, 5, 6|Цвет:темно-синий|Пол:Мужской;https://lacoste.ru/upload/photo/1476/PH9744525.jpg;17486.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fpolo-muzh%2Fpolo_lacoste_533_color_525%2F&i=5;Lacoste
true;Женское/Одежда/Верхняя одежда;RUB;100% полиэстер;1316552;1648544488;Куртка Lacoste;27900.00;Артикул:BF2127|Категория:Верхняя одежда|Размер:34, 36, 38|Цвет:многоцветный|Пол:Женский;https://lacoste.ru/upload/photo/1476/BF21279FE.jpg;19530.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fverkhnyaya-odezhda-zhenshchiny%2Fkurtka_lacoste_bf215252s_color_9FE%2F&i=5;Lacoste
