id;name;description;category;currency;price;old_price;credit_price;discount_sum;discount_percent;url;image;brand;available;gtin;mpn;model;params
3498610000737;"adidas Originals Adilette Bonega";"Лаконичный брендинг. Износостойкая подметка.";"Женская одежда и обувь > Женская обувь > Женские сланцы";RUB;4350;8690;;4340;50;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F349861%2Fgz4328%2F;https://img.brandshop.ru/cache/products/g/gz4328-0_676x676.jpg;"adidas Originals";"in stock";;;"Adilette Bonega";"Возраст:Взрослый|Цвет:бежевый|Пол:Женский|Материал:Материал: Верх - резина; Подкладка - текстиль; Низ - резина|Размер:42 INT"
3561000000744;"adidas Originals Stan Smith";"Перфорация по бокам. Лаконичный брендинг. Износостойкая подметка.";"Мужская одежда и обувь > Мужская обувь > Мужские кроссовки";RUB;6510;9290;;2780;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356100%2Ffx5499%2F;https://img.brandshop.ru/cache/products/f/fx5499-0_676x676.jpg;"adidas Originals";"in stock";;;"Stan Smith";"Возраст:Взрослый|Цвет:чёрный|Пол:Мужской|Материал:Материал: Верх - искусственная кожа; Подкладка - искусственная кожа, текстиль; Низ - резина|Размер:41.5 INT"
3687840000251;"Alltimers Draino Swim";;"Мужская одежда и обувь > Мужская одежда > Мужские шорты";RUB;5390;7690;;2300;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F368784%2Fpn3579%2F;https://img.brandshop.ru/cache/products/p/pn3579-0_676x676.jpg;Alltimers;"in stock";;;"Draino Swim";"Возраст:Взрослый|Цвет:чёрный|Пол:Мужской|Материал:Материал: 100% нейлон|Размер:36 INT"
3511280000232;"SOPHNET. Pullover Sweat Hoodie";;"Мужская одежда и обувь > Мужская одежда > Мужские толстовки";RUB;14490;20690;;6200;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F351128%2Fsoph-220054-white%2F;https://img.brandshop.ru/cache/products/s/soph-220054-white-0_676x676.jpg;SOPHNET.;"in stock";;;"Pullover Sweat Hoodie";"Возраст:Взрослый|Цвет:бежевый|Пол:Мужской|Материал:Материал: 100% хлопок|Размер:XL INT"
3614930000754;"Dr. Martens Snaffle Suede";;"Женская одежда и обувь > Женская обувь > Женские ботинки";RUB;13100;26190;;13090;50;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F361493%2F27425213%2F;https://img.brandshop.ru/cache/products/2/27425213-0_676x676.jpg;"Dr. Martens";"in stock";;;"Snaffle Suede";"Возраст:Взрослый|Цвет:коричневый|Пол:Унисекс|Материал:Материал: Верх - замша; Подкладка - кожа, текстиль; Низ - резина|Размер:37 INT"
3412370000229;"MSGM Lollipop Heart Crew Neck";"На модели размер футболки - SРост модели - 176 см";"Женская одежда и обувь > Женская одежда > Женские футболки";RUB;5850;11690;;5840;50;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F341237%2F3241mdm180-227298-01%2F;https://img.brandshop.ru/cache/products/3/3241mdm180-227298-01-0_676x676.jpg;MSGM;"in stock";;;"Lollipop Heart Crew Neck";"Возраст:Взрослый|Цвет:белый|Пол:Женский|Материал:Материал: 100% хлопок|Размер:S INT"
3412470000230;"MSGM Lollipop Heart Crew Neck";"На модели размер футболки - SРост модели - 176 см";"Женская одежда и обувь > Женская одежда > Женские футболки";RUB;5850;11690;;5840;50;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F341247%2F3241mdm180-227298-70%2F;https://img.brandshop.ru/cache/products/3/3241mdm180-227298-70-0_676x676.jpg;MSGM;"in stock";;;"Lollipop Heart Crew Neck";"Возраст:Взрослый|Цвет:фиолетовый|Пол:Женский|Материал:Материал: 100% хлопок|Размер:M INT"
3412470000228;"MSGM Lollipop Heart Crew Neck";"На модели размер футболки - SРост модели - 176 см";"Женская одежда и обувь > Женская одежда > Женские футболки";RUB;5850;11690;;5840;50;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F341247%2F3241mdm180-227298-70%2F;https://img.brandshop.ru/cache/products/3/3241mdm180-227298-70-0_676x676.jpg;MSGM;"in stock";;;"Lollipop Heart Crew Neck";"Возраст:Взрослый|Цвет:фиолетовый|Пол:Женский|Материал:Материал: 100% хлопок|Размер:XS INT"
3602450000759;"Puma RS-X Pop";;"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;9100;12990;;3890;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F360245%2F380461-01%2F;https://img.brandshop.ru/cache/products/3/380461-01-0_676x676.jpg;Puma;"in stock";;;"RS-X Pop";"Возраст:Взрослый|Цвет:бежевый|Пол:Унисекс|Материал:Материал: Верх - искусственная кожа, текстиль; Подкладка - текстиль; Низ - резина|Размер:35.5 INT"
3366670000231;"Edwin Paradise Inn";;"Мужская одежда и обувь > Мужская одежда > Мужские шорты";RUB;5040;7190;;2150;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F336667%2Fi030336-0x0-67%2F;https://img.brandshop.ru/cache/products/i/i030336-0x0-67-0_676x676.jpg;Edwin;"in stock";;;"Paradise Inn";"Возраст:Взрослый|Цвет:чёрный|Пол:Мужской|Материал:Материал: 100% хлопок|Размер:L INT"
