categoryId;description;id;name;oldprice;param;picture;price;url;vendor
Мужское/Одежда/Толстовки;85% хлопок 15% полиэстер;1316809;Толстовка Lacoste;16980.00;Артикул:SH1569|Категория:Толстовки|Размер:4|Цвет:многоцветный|Пол:Мужской;https://lacoste.ru/upload/photo/1476/SH1569DJ9.jpg;11886.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Ftolstovki-muzhchiny%2Ftolstovka_lacoste_563_color_DJ9%2F&i=5;Lacoste
Женское/Одежда/Блузы и рубашки;100% вискоза;1310861;Рубашка Lacoste;19480.00;Артикул:CF1025|Категория:Блузы и рубашки|Размер:34, 36, 38|Цвет:тёмно-синий|Пол:Женский;https://lacoste.ru/upload/photo/1476/CF1025166.jpg;13636.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fbluzy-i-rubashki-zhenshchiny%2Frubashka_lacoste_452_color_166%2F&i=5;Lacoste
Мужское/Одежда/Брюки;99% хлопок 1% эластан;1352589;Брюки Lacoste;18480.00;Артикул:HH0161|Категория:Брюки|Размер:3232|Цвет:многоцветный|Пол:Мужской;https://lacoste.ru/upload/photo/1476/HH016161G.jpg;12936.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fbryuki-muzhchiny%2Fbryuki_lacoste_238_color_61G%2F&i=5;Lacoste
Мужское/Одежда/Свитеры;45% шерсть 44% акрил 11% полиэстер;1355295;Свитер Lacoste;34980.00;Артикул:AH2067|Категория:Свитеры|Размер:7|Цвет:многоцветный|Пол:Мужской;https://lacoste.ru/upload/photo/1476/AH2067G45.jpg;24486.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fsvitery-muzhchiny%2Fsviter_lacoste_655_color_G45%2F&i=5;Lacoste
Детское/Подростки (10-16 лет)/Одежда для девочек/Верняя одежда / Девочки;100% полиамид;1353432;Куртка Lacoste;23480.00;Артикул:BJ1298|Категория:Верхняя одежда|Размер:10A|Цвет:синий|Пол:Мужской;https://lacoste.ru/upload/photo/1476/BJ1298FMP.jpg;16436.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fvernyaya_odezhda_devochki%2Fkurtka_lacoste_600_color_FMP%2F&i=5;Lacoste
Детское/Подростки (10-16 лет)/Одежда/Брюки и шорты / Мальчики;69% хлопок 31% полиэстер;1354442;Шорты Lacoste;7980.00;Артикул:GJ2294|Категория:Брюки и шорты|Размер:5A, 8A, 12A|Цвет:тёмно-синий|Пол:Мужской;https://lacoste.ru/upload/photo/1476/GJ22947PE.jpg;5586.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fbruki_i_shorty_dlya_yunoshei%2Fshorty_lacoste_94_color_7PE%2F&i=5;Lacoste
Мужское/Одежда/Свитеры;100% шерсть;1355543;Шерстяной свитер Lacoste;22980.00;Артикул:AH1959|Категория:Свитеры|Размер:5|Цвет:чёрный|Пол:Мужской;https://lacoste.ru/upload/photo/1476/AH1959031.jpg;16086.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fsvitery-muzhchiny%2Fsherstyanoy_sviter_lacoste_11_color_031%2F&i=5;Lacoste
Женское/Одежда/Свитеры;60% акрил 40% полиамид;1453808;Свитер Lacoste;15980.00;Артикул:AF2208|Категория:Свитеры|Размер:40|Цвет:бежевый|Пол:Женский;https://lacoste.ru/upload/photo/1476/AF220808C.jpg;11186.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fsvitery-zhenshchiny%2Fsviter_lacoste_73_color_08C%2F&i=5;Lacoste
Мужское/Одежда/Свитеры;100% шерсть;1455554;Шерстяной свитер Lacoste;22980.00;Артикул:AH1959|Категория:Свитеры|Размер:5, 6|Цвет:тёмно-синий|Пол:Мужской;https://lacoste.ru/upload/photo/1476/AH1959EL6.jpg;16086.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fsvitery-muzhchiny%2Fsherstyanoy_sviter_lacoste_11_color_EL6%2F&i=5;Lacoste
Женское/Одежда/Верхняя одежда;100% полиэстер;1455656;Куртка Lacoste;44900.00;Артикул:BF2210|Категория:Верхняя одежда|Размер:34|Цвет:серый|Пол:Женский;https://lacoste.ru/upload/photo/1476/BF221010B.jpg;31430.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fverkhnyaya-odezhda-zhenshchiny%2Fkurtka_lacoste_393_color_10B%2F&i=5;Lacoste
Женское/Одежда/Футболки;100% хлопок;1483901;Футболка Lacoste;9980.00;Артикул:TF7087|Категория:Футболки|Размер:32, 34, 38|Цвет:бордовый|Пол:Женский;https://lacoste.ru/upload/photo/1476/TF7087J9P.jpg;6986.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Ffutbolki_zhenshchiny%2Ffutbolka_lacoste_702_color_J9P%2F&i=5;Lacoste
Женское/Одежда/Свитеры;80% хлопок 20% шерсть;1483614;Свитер Lacoste;24480.00;Артикул:AF7678|Категория:Свитеры|Размер:36, 38, 40|Цвет:тёмно-синий|Пол:Женский;https://lacoste.ru/upload/photo/1476/AF7678HHW.jpg;17136.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fsvitery-zhenshchiny%2Fsviter_lacoste_578_color_HHW%2F&i=5;Lacoste
Женское/Одежда/Толстовки;81% хлопок 19% полиэстер / 98% хлопок 2% эластан;1490059;Толстовка Lacoste;22480.00;Артикул:SF7253|Категория:Толстовки|Размер:36, 38|Цвет:белый|Пол:Женский;https://lacoste.ru/upload/photo/1476/SF7253Q6H.jpg;15736.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Ftolstovki-zhenshchiny%2Ftolstovka_lacoste_524_color_Q6H%2F&i=5;Lacoste
Мужское/Одежда/Свитеры;100% шерсть ягненка;1504237;Шерстяной свитер Lacoste;24980.00;Артикул:AH2261|Категория:Свитеры|Размер:3, 4|Цвет:многоцветный|Пол:Мужской;https://lacoste.ru/upload/photo/1476/AH226161G.jpg;17486.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fsvitery-muzhchiny%2Fsherstyanoy_sviter_lacoste_7_color_61G%2F&i=5;Lacoste
Мужское/Одежда/Свитеры;85% хлопок 15% шерсть;1510648;Свитер Lacoste;24980.00;Артикул:AH6789|Категория:Свитеры|Размер:3, 4, 5|Цвет:красный|Пол:Мужской;https://lacoste.ru/upload/photo/1476/AH6789WVQ.jpg;17486.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fsvitery-muzhchiny%2Fsviter_lacoste_597_color_WVQ%2F&i=5;Lacoste
Женское/Одежда/Блузы и рубашки;100% полиэстер;1512045;Рубашка Lacoste;23480.00;Артикул:CF6685|Категория:Блузы и рубашки|Размер:34, 36|Цвет:белый|Пол:Женский;https://lacoste.ru/upload/photo/1476/CF6685EZ6.jpg;16436.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fbluzy-i-rubashki-zhenshchiny%2Frubashka_lacoste_475_color_EZ6%2F&i=5;Lacoste
Женское/Одежда/Свитеры;70% хлопок 30% шерсть;1518215;Свитер Lacoste;20480.00;Артикул:AF7023|Категория:Свитеры|Размер:36, 40, 42, 44|Цвет:многоцветный|Пол:Женский;https://lacoste.ru/upload/photo/1476/AF7023GRU.jpg;14336.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fsvitery-zhenshchiny%2Fsviter_lacoste_688_color_GRU%2F&i=5;Lacoste
Женское/Одежда/Свитеры;44% полиамид 34% альпака 22% шерсть;1529180;Свитер Lacoste;24480.00;Артикул:AF7043|Категория:Свитеры|Размер:36, 38|Цвет:многоцветный|Пол:Женский;https://lacoste.ru/upload/photo/1476/AF70431DW.jpg;17136.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fsvitery-zhenshchiny%2Fsviter_lacoste_690_color_1DW%2F&i=5;Lacoste
Женское/Одежда/Блузы и рубашки;96% хлопок 4% эластан;1540350;Женская рубашка Lacoste Slim Fit;15980.00;Артикул:CF5910|Категория:Блузы и рубашки|Размер:36, 38, 40|Цвет:многоцветный|Пол:Женский;https://lacoste.ru/upload/photo/1476/CF5910001.jpg;11186.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fbluzy-i-rubashki-zhenshchiny%2Fzhenskaya_rubashka_lacoste_slim_fit_color_001%2F&i=5;Lacoste
Мужское/Одежда/Верхняя одежда;100% полиэстер / 90% пух 10% перо / 70% полиэстер 30% акрил / Изделие не пригодно к стирке в домашних условиях;1545184;Куртка Lacoste;54900.00;Артикул:BH2208|Категория:Верхняя одежда|Размер:48, 52|Цвет:многоцветный|Пол:Мужской;https://lacoste.ru/upload/photo/1476/BH220808H.jpg;38430.00;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fverkhnyaya-odezhda-muzhchiny%2Fkurtka_lacoste_657_color_08H%2F&i=5;Lacoste
